ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,Aruba,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,392.9817505,446.1152039,488.2218628,559.1889038,649.1333618,700.7422485,766.6348877,789.8707275,906.7666016,1045.745972,1158.847656,1247.07312,1353.783447,1482.412598,1601.07373,1879.26123,1984.817505,2354.671631,2784.639893,2835.811035,3110.763428,2809.165039,4018.358887,3900.730469,4363.706055,4252.333984,3990.846436,4193.39209,4807.512695,5244.009766,4519.512695,4979.928223,3924.565186,4053.20166,4531.297852,4559.956543,4704.290527,4543.621582,4608.039063,4148.983398,3775.287109,3779.245117,3658.76123,4376.827637,3819.866455,3963.456055,3387.83374,3062.580566,3466.72583,3466.241943
AGO,Angola,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,28822.79883,30987.24219,30737.00391,33386.03516,34559.40234,32458.76953,31391.4707,32863.49219,29549.97266,30551.35547,31178.47656,30805.71484,31218.00977,31163.55078,33838.43359,35775.97656,31471.43555,35511.82813,33438.07031,35471.60156,37988.03516,33016.96875,42753.70313,35172.16797,36822.78125,32026.17969,39732.5625,40691.0625,43199.82422,42868.44922,37817.11719,39914.66406,46788.27734,50810.56641,62210.64844,82367.32813,107025.8125,119522.2969,145000.4531,115161.5469,153241.2813,199033.2344,221671.9375,228184.5938,243641.5156,224333.6406,214634.1719,230151.3438,233298.3906,223289.3125
AIA,Anguilla,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,64.76747894,63.52794266,71.39857483,74.0796051,72.29262543,75.90225983,76.89713287,76.49986267,82.02297211,88.77042389,90.35993195,93.64125061,94.99145508,93.73706055,96.93740082,109.2250824,133.0693207,142.3262787,151.9092102,175.9201202,221.4957123,175.4105225,219.9271851,231.9911346,240.098175,235.7074432,225.852478,226.4125061,268.7964783,293.7971802,273.9180298,270.3680115,243.0339661,286.5610046,326.7154541,368.5666199,408.057312,490.5126343,475.1624451,356.8543701,335.1133728,325.9266968,295.8686218,263.1662292,253.6987152,240.8539886,228.3786011,195.6345215,154.1412964,241.3845367
ALB,Albania,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,6225.113281,6456.324219,6704.356445,6939.364746,7271.992676,7567.76709,7818.527832,8156.3125,8501.085938,8729.451172,9260.68457,9632.572266,9687.836914,10018.05957,10085.0293,10212.86328,10697.52734,10873.81152,10672.2627,11567.51465,11354.6543,10167.25195,9041.967773,10468.99414,11897.8457,12922.33398,14240.40918,13343.05176,14821.45996,15896.90039,15942.625,16646.4043,17106.91406,17991.36914,18591.6582,19931.92578,21642.23047,23265.11719,25638.37695,27826.95117,30864.36523,31103.80859,31867.00977,30496.78906,31698.85352,33465.53516,33650.61719,34974.94531,35406.60938,36288.32813
ARE,United Arab Emirates,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,67416.99219,77599.46875,73025.00781,84735.5,88221.34375,112466.3984,135036.0469,170991.5156,167346.3594,204455.4063,322841.5938,310732.5625,286306.5313,262075.5938,263887.5,248580.7813,208218.4844,180625.6875,203609.9688,235481.2031,276104.625,256077.3594,266764.5313,215264.8281,226225.9688,246747.3906,259839.6094,276840.75,268251.5938,291834.3438,357051.4063,365178,372774.6875,403820.2813,438192.6875,505685.5625,589832.4375,637629.5,690637.5,589839.125,596480.4375,702652.3125,740764.3125,727747.625,762556.4375,697859.5,666252.5625,629800.5,630553.125,635332.8125
ARG,Argentina,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),50511.76563,51700.11328,47280.32813,50378.66797,52633.07422,56270.61328,57369.76172,60171.92578,64713.64453,60581.76563,65001.01953,67339.90625,68889.10156,66452.4375,69475.60938,77955.89844,79723.92188,82712.75,85226.78906,93200.625,95676.97656,98180.76563,99528.625,104678.3984,110070.2734,108460.7656,108488.6484,115876.1563,113830.6406,121296.6094,122182.0703,123073.5859,129375.3047,140820.125,149841.1406,146998.0625,161987.1563,171734.1719,183153.2656,176769.0313,199903,233580.8906,276399.125,316009.75,368028.5,412709.9375,531039.1875,549191.0625,548851,518102.0938,514538.9688,484168.3438,416045.6563,448489.0938,489746.25,536323.5,585043.125,647639.875,700603.9375,669053.1875,768478.25,868765.0625,882438.8125,885112.9375,864304,904271.3125,902696.9375,1022513.25,1022236.438,978558.8125
ARM,Armenia,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23834.17578,21639.31055,12519.46973,11996.42578,9321.522461,9693.259766,10589.20801,11071.56836,10115.46875,11174.76563,11371.40234,12032.16211,13082.15723,14889.5498,15876.3623,17664.27148,20131.75,22887.44922,24782.66797,23117.07813,25331.43164,27900.0625,32366.05859,32282.05078,30983.44336,32382.51563,33158.40234,38221.71484,40192.38281,43795.6875
ATG,Antigua and Barbuda,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,305.2166138,329.6151733,357.4688721,379.9157104,338.1336365,314.8480225,287.9093323,321.7600098,325.559967,398.9448547,324.0381165,348.5062866,375.4953613,462.6985474,431.6124268,388.4456177,552.5997925,607.1143799,632.2741089,677.9358521,699.2023315,729.9910889,694.4772949,716.0426636,806.5887451,751.9822388,804.1642456,821.8602905,576.5216675,868.1229858,1113.373657,901.4308472,923.7682495,1039.55481,841.7567139,1160.145752,1364.952271,1756.422363,1773.644165,1738.828613,1721.558838,1790.702271,1781.443481,1623.718872,811.0693359,1507.433838,1527.750732,1367.487061,1568.300171,1631.650513
AUS,Australia,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),114696.0469,110977.4531,110426.8906,124582.2969,133412.6563,138949.9531,140938.2188,141741.0625,153543.9844,163421.5781,163815.375,167788.4063,176918.7344,190072.5938,199226.1563,201510.5,216166,226229.7188,243944.7344,262454.1875,273622.1875,284739,293662.9375,306831.7813,297450.0938,304033.5938,316927.5313,321378.9375,336176.2813,347887.0313,360795.875,376393.5,368875.9063,391281.4063,404925.8125,420608.2813,429660.875,464407.0625,492094.6875,508774.0938,507316.9063,501758.9375,534908,547496.875,570466.4375,596964.5,625794.25,657848.125,684062,722421.6875,744584.8125,768420.875,793476.6875,825010.0625,855562.4375,912796.3125,931947.875,954916.375,1001650.688,1010318.688,1097911.875,1162430.75,1151870.5,1197636.375,1197183.875,1160150,1240311,1291582.25,1350340.125,1355143.25
AUT,Austria,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),41518.45703,43585.21484,45118.83594,47730.43359,51001.19531,55802.47656,59770.51172,62839.86328,65802.03906,67823.16406,71811.03125,76145.32031,79228.70313,82431.60156,86282.27344,89254.97656,94214.13281,97729.79688,102357.2578,107560.9688,114421.9297,120623.9688,127841.5703,133109.2656,135194.2188,136563.3594,139917.4844,145612.3125,144919.25,149722.2031,149388.875,148456.2188,150489.75,154209.8125,153025.7813,157509.4844,164320.3906,170613.1094,182175.2813,193097.4219,203457.8594,215694,222625.6406,226246.4219,238085.5469,246852.9844,251124.5938,266784.9688,282405.4688,293144.0313,309127.9375,302952.0938,310776.3125,315680.9063,328548.375,350025.0625,363749.6563,375680.7188,379208.8125,372225.8125,379239.9375,390618.3438,397384.1875,392752.8438,410362.9375,428539.7188,437948.0625,458231.5938,470541.5,478329.3438
